Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="quadraScope",="https://finder.startupnationcentral.org/investor_page/quadrascope",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Qure Ventures",="https://finder.startupnationcentral.org/investor_page/ourfund-qure",="VC and Private Equity",="",="20",="0",="$50M",="Undisclosed",
="Racah Nano Venture Fund",="https://finder.startupnationcentral.org/investor_page/racah-nano-venture-fund",="VC and Private Equity",="",="6",="3",="$7M",="Undisclosed",
="Rainbow Medical",="https://finder.startupnationcentral.org/investor_page/rainbow-medical",="VC and Private Equity",="",="5",="0",="$350M",="Undisclosed",
="Rainfall Ventures",="https://finder.startupnationcentral.org/investor_page/vaizra-investments",="VC and Private Equity",="",="15",="0",="",="Undisclosed",
"Rashi, ICA, SIBF",="https://finder.startupnationcentral.org/investor_page/rashi-ica-sibf",="VC and Private Equity",="",="0",="0",="",="Undisclosed - 140K",
="Ratio Technologies",="https://finder.startupnationcentral.org/investor_page/ratio-technologies",="VC and Private Equity",="",="37",="1",="",="Undisclosed",
="RealTech",="https://finder.startupnationcentral.org/investor_page/realtech",="VC and Private Equity",="",="0",="0",="",="250K - 1M",
="RedBlue Capital",="https://finder.startupnationcentral.org/investor_page/redblue-capital",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Reinvent VC",="https://finder.startupnationcentral.org/investor_page/reinvent-vc",="VC and Private Equity",="",="12",="0",="",="200K - 1M",
="RGREEN INVEST",="https://finder.startupnationcentral.org/investor_page/rgreen-invest",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Rhodium",="https://finder.startupnationcentral.org/investor_page/rhodium",="VC and Private Equity",="",="50",="4",="",="Undisclosed",
="RI.Group",="https://finder.startupnationcentral.org/investor_page/ri-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Rimonim Venture Capital",="https://finder.startupnationcentral.org/investor_page/rimonim-venture-capital",="VC and Private Equity",="",="5",="0",="",="500K - Undisclosed",
="RIO Ventures Holdings",="https://finder.startupnationcentral.org/investor_page/rio-ventures-holdings",="VC and Private Equity",="",="9",="0",="$20M",="Undisclosed",
="RMGP Biopharma Investment Fund",="https://finder.startupnationcentral.org/investor_page/rmgp-biopharma-investment-fund",="VC and Private Equity",="",="18",="0",="$64M",="Undisclosed",
="ROCX",="https://finder.startupnationcentral.org/investor_page/rocx",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="RollOut Ventures",="https://finder.startupnationcentral.org/investor_page/rollout-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="RunYoung Technology Transfer Center",="https://finder.startupnationcentral.org/investor_page/runyoung-technology-transfer-center",="VC and Private Equity",="",="2",="0",="$50M",="250K - 5M",
="SAFEDOME",="https://finder.startupnationcentral.org/investor_page/safedome",="VC and Private Equity",="",="0",="0",="",="Undisclosed - 500K",
="Samurai Incubate Israel",="https://finder.startupnationcentral.org/investor_page/samurai-house1",="VC and Private Equity",="",="38",="0",="",="300K - 1M",
="Sapir Venture Partners",="https://finder.startupnationcentral.org/investor_page/sapir-venture-partners",="VC and Private Equity",="",="21",="3",="",="Undisclosed",
="Scale Venture Partners",="https://finder.startupnationcentral.org/investor_page/scale-venture-partners",="VC and Private Equity",="",="28",="2",="$1.9B",="5M - 30M",
="Scale-Up Venture Capital",="https://finder.startupnationcentral.org/investor_page/scale-up-venture-capital",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="SCP Vitalife",="https://finder.startupnationcentral.org/investor_page/scp-vitalife",="VC and Private Equity",="",="14",="0",="$230M",="3M - 7M",
="Second Century Ventures",="https://finder.startupnationcentral.org/investor_page/second-century-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Selah Ventures",="https://finder.startupnationcentral.org/investor_page/selah-ventures",="VC and Private Equity",="",="5",="3",="$15M",="200K - 700K",
="Seventure Partners",="https://finder.startupnationcentral.org/investor_page/seventure-partners",="VC and Private Equity",="",="4",="1",="$1B",="Undisclosed",
="Shaked Partners Fund",="https://finder.startupnationcentral.org/investor_page/shaked-partners-fund",="VC and Private Equity",="",="0",="0",="$250M",="Undisclosed",
="Shamrock Israel Growth Fund",="https://finder.startupnationcentral.org/investor_page/shamrock-israel-growth-fund-advisors",="VC and Private Equity",="",="5",="0",="$350M",="5M - 20M",
="Shefa Capital",="https://finder.startupnationcentral.org/investor_page/shefa-capital",="VC and Private Equity",="",="0",="0",="",="30M - 100M",
="Sherpa InnoVentures",="https://finder.startupnationcentral.org/investor_page/sherpa-innoventures",="VC and Private Equity",="",="7",="0",="$15M",="300K - 4M",
="Shoham Fund",="https://finder.startupnationcentral.org/investor_page/shoham-fund",="VC and Private Equity",="",="0",="0",="",="200K - 4M",
="Shoni Health Ventures",="https://finder.startupnationcentral.org/investor_page/shoni-health-ventures",="VC and Private Equity",="",="9",="4",="",="Undisclosed",
="SIBF VC",="https://finder.startupnationcentral.org/investor_page/sibf-vc",="VC and Private Equity",="",="28",="0",="$400M",="3M - 10M",
="Sierra Ventures",="https://finder.startupnationcentral.org/investor_page/sierra-ventures",="VC and Private Equity",="",="13",="2",="$2B",="Undisclosed",
="Silver Stone Global Partners",="https://finder.startupnationcentral.org/investor_page/silver-stone-global-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="SilverTech Ventures",="https://finder.startupnationcentral.org/investor_page/silvertech-ventures",="VC and Private Equity",="",="26",="3",="",="Undisclosed",
="Singularus",="https://finder.startupnationcentral.org/investor_page/singularus",="VC and Private Equity",="",="0",="0",="$100M",="10K - 50M",
="SIRIUS GLOBAL VC",="https://finder.startupnationcentral.org/investor_page/sirius-global-vc",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
="Six Point Ventures",="https://finder.startupnationcentral.org/investor_page/six-point-ventures",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Sky Fund",="https://finder.startupnationcentral.org/investor_page/sky-fund",="VC and Private Equity",="",="1",="0",="$800M",="Undisclosed",
="Sky Partners",="https://finder.startupnationcentral.org/investor_page/sky-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Skywell Capital Partners",="https://finder.startupnationcentral.org/investor_page/skywell-capital-partners",="VC and Private Equity",="",="11",="2",="$300M",="1M - 5M",
="Slow Ventures",="https://finder.startupnationcentral.org/investor_page/slow-ventures",="VC and Private Equity",="",="15",="2",="",="Undisclosed",
="Smart Agro",="https://finder.startupnationcentral.org/investor_page/smart-agro",="VC and Private Equity",="",="11",="2",="$8M",="500K - 2M",
="SoftBank Vision Fund",="https://finder.startupnationcentral.org/investor_page/softbank-vision-fund",="VC and Private Equity",="",="7",="0",="$154B",="50M - Undisclosed",
="Sound Ventures",="https://finder.startupnationcentral.org/investor_page/sound-ventures",="VC and Private Equity",="",="9",="0",="",="Undisclosed",
="SouthUp Impact Investment Fund",="https://finder.startupnationcentral.org/investor_page/southup-impact-investment-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="SPiCE VC",="https://finder.startupnationcentral.org/investor_page/spice-vc",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
